check,passed,severity,detail
archive_crc,True,required,ZipFile.testzip
archive_member_paths_safe,True,required,entries=518
archive_member_names_unique,True,required,entries=518
archive_single_expected_root,True,required,top_levels=['20260727T104042+0000']
archive_file_count,True,required,observed=345 expected=345
archive_uncompressed_bytes,True,required,observed=130532323 expected=130532323
controller_present,True,required,20260727T104042+0000/confirmatory_controller.json
controller_protocol,True,required,r1_block_alpha_seeds2024_2025_confirmatory_v1
controller_batch_id,True,required,20260727T104042+0000
controller_completed,True,required,completed
controller_no_failures,True,required,[]
controller_seed_grid,True,required,"[2024, 2025]"
controller_seed2024_completed,True,required,completed
controller_seed2024_wandb_complete,True,required,True
controller_seed2025_completed,True,required,completed
controller_seed2025_wandb_complete,True,required,True
batch_grid,True,required,"[('formal', 2024), ('formal', 2025), ('smoke', 2024), ('smoke', 2025)]"
smoke_seed2024:family,True,required,22_r1_block_alpha
smoke_seed2024:kind_seed,True,required,kind=smoke seed=2024
smoke_seed2024:protocol,True,required,official_newton_muon_1_r1_dense_block_alpha_exact_shape_smoke_v1
smoke_seed2024:status,True,required,completed_valid_smoke
smoke_seed2024:methods,True,required,"('alpha0', 'alpha0p25', 'alpha0p50', 'alpha0p75')"
smoke_seed2024:no_failures,True,required,[]
smoke_seed2024:official_commit,True,required,df78af0db523d8bceb25af4919a3e3e7082b80f3
smoke_seed2024:initialization_identical,True,required,init_sha256=dcd2b4aaa59b03d26ca117c77e518cd588fa907991f73a386629d058431e6176
smoke_seed2024:summary_grid,True,required,rows=4
smoke_seed2024:eligibility,True,required,"{'quality_usable': True, 'memory_usable': True, 'timing_usable': False, 'reason': 'R1 block-alpha is a quality/mechanism experiment; timing belongs to R1-PERF'}"
smoke_seed2024:resource_isolation,True,required,"{'cuda_visible_devices': '0', 'visible_device_count': 1, 'one_process_one_gpu': True, 'concurrent_node_training': True, 'concurrent_workload': 'dense_full_alpha_gpu1'}"
smoke_seed2024:wandb_status_grid,True,required,"{'alpha0': 'disabled_for_numerical_smoke', 'alpha0p25': 'disabled_for_numerical_smoke', 'alpha0p50': 'disabled_for_numerical_smoke', 'alpha0p75': 'disabled_for_numerical_smoke'}"
smoke_seed2024:run_manifest_count,True,required,observed=4
smoke_seed2024_alpha0p25:identity,True,required,method=alpha0p25 seed=2024
smoke_seed2024_alpha0p25:status,True,required,status=completed_valid_smoke returncode=0
smoke_seed2024_alpha0p25:tier,True,required,formal=False profile=exact_shape_numerical_smoke
smoke_seed2024_alpha0p25:eligibility,True,required,"{'quality_usable': True, 'memory_usable': True, 'timing_usable': False, 'reason': 'R1 block-alpha is a quality/mechanism experiment; timing belongs to R1-PERF'}"
smoke_seed2024_alpha0p25:required_files,True,required,[]
smoke_seed2024_alpha0p25:derived_source_hash,True,required,actual=d978965c4397ba193b840c68b3b61149391cd8c97f3e99addfe001fc92209d14 declared=d978965c4397ba193b840c68b3b61149391cd8c97f3e99addfe001fc92209d14
smoke_seed2024_alpha0p25:official_base_hash,True,required,48383e333334e4f29bbae3365ac4142226c27750ede5739ab53c0dafbbcb7730
smoke_seed2024_alpha0p25:triton_hash,True,required,b51ac50c699b05306619d92cb9ec6edadd266d8118c53f5b9726db76480ea16d
smoke_seed2024_alpha0p25:alpha_storage,True,required,summary_alpha=0.25 source_alpha=0.25
smoke_seed2024_alpha0p25:summary_consistency,True,required,"('method', 'controlled_seed', 'init_sha256', 'final_val_step', 'final_val_loss', 'final_train_step', 'final_train_loss', 'derived_script_sha256')"
smoke_seed2024_alpha0p25:metrics_shape,True,required,rows=36 train=34 validation=2
smoke_seed2024_alpha0p25:metrics_identity,True,required,rows=36
smoke_seed2024_alpha0p25:metrics_summary_endpoint,True,required,metrics=6.0834 summary=6.0834
smoke_seed2024_alpha0p50:identity,True,required,method=alpha0p50 seed=2024
smoke_seed2024_alpha0p50:status,True,required,status=completed_valid_smoke returncode=0
smoke_seed2024_alpha0p50:tier,True,required,formal=False profile=exact_shape_numerical_smoke
smoke_seed2024_alpha0p50:eligibility,True,required,"{'quality_usable': True, 'memory_usable': True, 'timing_usable': False, 'reason': 'R1 block-alpha is a quality/mechanism experiment; timing belongs to R1-PERF'}"
smoke_seed2024_alpha0p50:required_files,True,required,[]
