order,study,evidence_level,status,result,claim_boundary,paper_role
1,foundational_module_allocation,supportive,replicated_across_two_datasets,"top-two modes: OWT=diag,none; WikiText-103=diag,none; cproj-only worse in 6/6 paired seeds",historical 24L GPT evidence; R1 module allocation remains unisolated,inherited from accepted unified synthesis
2,architecture_transfer_boundary,limiting,strong_non_invariance,LLaMA contiguous block4 median update drift=0.3447; equivariant-control max=0.0159; effect/control=21.64x,"coordinate-partition dependence, not a full-training performance ranking; official LLaMA original control remains newton_full",inherited from accepted unified synthesis
3,numerical_implementation,supportive,passed,fixed-tensor and cross-runtime numerical checks passed,"implementation validity, not optimizer superiority",inherited from accepted unified synthesis
4,k_geometry,descriptive,candidate_signal,5/9 geometry metric gates passed,geometry did not authorize the next mechanism stage,inherited from accepted unified synthesis
5,one_step_crossfit_prediction,limiting,failed_prediction_gate,0/4 material layers; 19/32 positive paired cells,one-step shadow loss is not a validated long-horizon proxy,inherited from accepted unified synthesis
6,llama1b_one_step_confirmation,limiting,uncertain,early=uncertain; late=uncertain,no retrospective ranking was used to rescue the proxy,inherited from accepted unified synthesis
7,frozen_checkpoint_family_shadow,supportive,stage_dependent,early and late checkpoint counterfactual rankings differ,counterfactual shadow steps are not real training trajectories,inherited from accepted unified synthesis
8,real_128_step_rollout,supportive,mixed_and_stage_dependent,"all-stage primary AUC/step128 rows: 4 left-better, 1 left-worse, 3 uncertain",128 steps do not replace full-budget training,inherited from accepted unified synthesis
9,down_projection_refresh_mediation,confirmatory,full_support,3/3 frozen directional predictions passed,causal within the frozen MECH-09R intervention tree,inherited from accepted unified synthesis
10,alpha_dose_response,confirmatory,strong_confirmatory_support,2/2 topologies have negative curvature in all seeds,"tested-grid nonmonotonicity, not universal alpha optimality",inherited from accepted unified synthesis
11,formal_training_outcomes,confirmatory,authoritative_for_method_performance,three architectures × three seeds × five frozen contrasts,mechanism evidence explains but does not replace this result,inherited from accepted unified synthesis
12,MDP-04 streamed replay,diagnostic,numerical_gate_failed,"12/12 units and descriptive signal recovered, but 6/432 resolvent rows exceeded the frozen 0.01 gate",not formal paper evidence,engineering audit / limitations
13,MDP-05 direct refresh effect,confirmatory,supported,positive normalized endpoint harm in 12/12 units at both production and delayed events,causal only inside the frozen matched replay tree,appendix evidence; concise main-text support
14,MDP-05 scalar update-shock mediation,confirmatory,partial_or_null,0/4 multiplicity-controlled primary tests passed,no origin-independent quantitative mediator claim,appendix and limitations
15,GEO-01A curvature pilot,engineering,pilot_passed,exact HVP/Taylor implementation and memory feasibility passed,engineering only; local source unavailable at closure and not reverified,provenance only
16,GEO-01B immediate local geometry,discovery,descriptively_supported,full Taylor median relative error 0.010%/0.028%; curvature reduces local approximation error by >99.6%,immediate line loss only; non-claim-eligible discovery,appendix descriptive evidence
17,GEO-01B short-horizon predictor,discovery,not_supported,origin-centered directional-geometry correlations failed the discovery gate and did not beat norm consistently,no GEO-01C and no predictor claim,limitations / negative result
18,Mechanism closure decision,adjudication,closed,refresh harm retained; simple origin-independent scalar/local predictor rejected; mechanism line frozen,"a new trajectory/state mechanism would be a new project, not a rescue",paper writing boundary
